rounds,key_mode,key_hex,num_keys,seed_hex,fixed_input_difference_hex,fixed_input_difference_weight,rank,output_mask_hex,metric_name,metric_pow2,abs_metric_pow2
11,random_keys,,5,0x0000000000001234,0x00040000,1,2,0x1c9e1bed,rms,2^(-13.7283),2^(-13.7283)
11,random_keys,,5,0x0000000000001234,0x00040000,1,3,0xf38c271b,rms,2^(-13.7694),2^(-13.7694)
11,random_keys,,5,0x0000000000001234,0x00040000,1,4,0x7ba373de,rms,2^(-13.8180),2^(-13.8180)
11,random_keys,,5,0x0000000000001234,0x00040000,1,5,0x199261a1,rms,2^(-13.8197),2^(-13.8197)
11,random_keys,,5,0x0000000000001234,0x00080000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00080000,1,2,0x97be7ff0,rms,2^(-13.7241),2^(-13.7241)
11,random_keys,,5,0x0000000000001234,0x00080000,1,3,0x9334c307,rms,2^(-13.7790),2^(-13.7790)
11,random_keys,,5,0x0000000000001234,0x00080000,1,4,0x55fa6313,rms,2^(-13.8159),2^(-13.8159)
11,random_keys,,5,0x0000000000001234,0x00080000,1,5,0x6dc21ea1,rms,2^(-13.8304),2^(-13.8304)
11,random_keys,,5,0x0000000000001234,0x00100000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00100000,1,2,0x4f6600f0,rms,2^(-13.8172),2^(-13.8172)
11,random_keys,,5,0x0000000000001234,0x00100000,1,3,0x775f7ccc,rms,2^(-13.8198),2^(-13.8198)
11,random_keys,,5,0x0000000000001234,0x00100000,1,4,0x52be5097,rms,2^(-13.8233),2^(-13.8233)
11,random_keys,,5,0x0000000000001234,0x00100000,1,5,0x550be932,rms,2^(-13.8340),2^(-13.8340)
11,random_keys,,5,0x0000000000001234,0x00200000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00200000,1,2,0x4baa8548,rms,2^(-13.8245),2^(-13.8245)
11,random_keys,,5,0x0000000000001234,0x00200000,1,3,0x46bab3b9,rms,2^(-13.8434),2^(-13.8434)
11,random_keys,,5,0x0000000000001234,0x00200000,1,4,0x5c811ebe,rms,2^(-13.8484),2^(-13.8484)
11,random_keys,,5,0x0000000000001234,0x00200000,1,5,0x6c92401b,rms,2^(-13.8540),2^(-13.8540)
11,random_keys,,5,0x0000000000001234,0x00400000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00400000,1,2,0x38716ae5,rms,2^(-13.7751),2^(-13.7751)
11,random_keys,,5,0x0000000000001234,0x00400000,1,3,0xd2d5c07d,rms,2^(-13.8117),2^(-13.8117)
11,random_keys,,5,0x0000000000001234,0x00400000,1,4,0x246462ab,rms,2^(-13.8277),2^(-13.8277)
11,random_keys,,5,0x0000000000001234,0x00400000,1,5,0x7cb67295,rms,2^(-13.8280),2^(-13.8280)
11,random_keys,,5,0x0000000000001234,0x00800000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x00800000,1,2,0xf14e5f76,rms,2^(-13.7748),2^(-13.7748)
11,random_keys,,5,0x0000000000001234,0x00800000,1,3,0xfe7d1992,rms,2^(-13.7950),2^(-13.7950)
11,random_keys,,5,0x0000000000001234,0x00800000,1,4,0x5c91dc3f,rms,2^(-13.8120),2^(-13.8120)
11,random_keys,,5,0x0000000000001234,0x00800000,1,5,0x66cc1760,rms,2^(-13.8174),2^(-13.8174)
11,random_keys,,5,0x0000000000001234,0x01000000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x01000000,1,2,0x18edab71,rms,2^(-13.7920),2^(-13.7920)
11,random_keys,,5,0x0000000000001234,0x01000000,1,3,0x353d1536,rms,2^(-13.7965),2^(-13.7965)
11,random_keys,,5,0x0000000000001234,0x01000000,1,4,0x4b0f453a,rms,2^(-13.8034),2^(-13.8034)
11,random_keys,,5,0x0000000000001234,0x01000000,1,5,0x47b94a5f,rms,2^(-13.8151),2^(-13.8151)
11,random_keys,,5,0x0000000000001234,0x02000000,1,1,0x00000000,rms,2^(0.0000),2^(0.0000)
11,random_keys,,5,0x0000000000001234,0x02000000,1,2,0xa1130b44,rms,2^(-13.7728),2^(-13.7728)
